age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,jobEnc,maritalEnc,educationEnc,defaultEnc,housingEnc,loanEnc,contactEnc,monthEnc,poutcomeEnc,depositEnc
59,admin.,married,secondary,no,2343.0,yes,no,unknown,5.0,may,1042,1,-1,0,unknown,yes,0.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
56,admin.,married,secondary,,45.0,no,no,unknown,5.0,may,1467,1,-1,0,unknown,no,0.0,1.0,1.0,,0.0,0.0,2.0,8.0,3.0,0.0
41,technician,married,secondary,no,1270.0,yes,no,unknown,5.0,may,1389,1,-1,0,unknown,yes,9.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
55,services,married,secondary,no,2476.0,yes,no,unknown,5.0,may,579,1,-1,0,unknown,yes,7.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
54,admin.,married,tertiary,no,184.0,no,no,unknown,5.0,may,673,2,-1,0,unknown,yes,0.0,1.0,2.0,0.0,0.0,0.0,2.0,8.0,3.0,1.0
42,management,single,tertiary,no,0.0,yes,yes,unknown,5.0,may,562,2,-1,0,unknown,yes,4.0,2.0,2.0,0.0,1.0,1.0,2.0,8.0,3.0,1.0
56,management,married,tertiary,no,,yes,yes,unknown,6.0,may,1201,1,-1,0,unknown,yes,4.0,1.0,2.0,0.0,1.0,1.0,2.0,8.0,3.0,1.0
60,retired,divorced,secondary,no,545.0,yes,no,unknown,6.0,may,1030,1,-1,0,unknown,yes,5.0,0.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
37,technician,married,secondary,no,1.0,yes,no,unknown,6.0,may,608,1,-1,0,unknown,yes,9.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
28,services,single,secondary,no,5090.0,yes,no,unknown,6.0,may,1297,3,-1,0,unknown,yes,7.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
38,admin.,single,secondary,no,900.0,yes,no,unknown,7.0,may,786,1,-1,0,unknown,yes,0.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
30,blue-collar,married,secondary,no,309.0,yes,no,unknown,7.0,may,1574,2,-1,0,unknown,yes,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
29,management,married,tertiary,no,199.0,yes,yes,unknown,7.0,may,1689,4,-1,0,unknown,yes,4.0,1.0,2.0,0.0,1.0,1.0,2.0,8.0,3.0,1.0
46,blue-collar,single,tertiary,no,,yes,no,unknown,7.0,may,1102,2,-1,0,unknown,yes,1.0,2.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
31,technician,single,tertiary,no,703.0,yes,no,unknown,8.0,may,943,2,-1,0,unknown,yes,9.0,2.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
35,management,divorced,tertiary,no,3837.0,yes,no,unknown,8.0,may,1084,1,-1,0,unknown,yes,4.0,0.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
32,blue-collar,single,primary,no,,yes,no,unknown,8.0,may,541,3,-1,0,unknown,yes,1.0,2.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
49,services,married,secondary,no,-8.0,yes,no,unknown,8.0,may,1119,1,-1,0,unknown,yes,7.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
41,admin.,married,secondary,no,55.0,yes,no,unknown,8.0,may,1120,2,-1,0,unknown,yes,0.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
28,admin.,divorced,secondary,no,785.0,yes,no,unknown,8.0,may,442,2,-1,0,unknown,yes,0.0,0.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
31,technician,single,tertiary,no,703.0,yes,no,unknown,8.0,may,943,2,-1,0,unknown,yes,9.0,2.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
43,management,divorced,tertiary,no,388.0,yes,no,unknown,8.0,may,2087,2,-1,0,unknown,yes,4.0,0.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
35,blue-collar,single,secondary,no,40.0,yes,no,unknown,9.0,may,617,4,-1,0,unknown,yes,1.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
31,technician,single,tertiary,no,,yes,no,unknown,9.0,may,483,3,-1,0,unknown,yes,9.0,2.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
31,admin.,married,secondary,no,307.0,yes,no,unknown,9.0,may,538,1,-1,0,unknown,yes,0.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
28,blue-collar,single,secondary,no,759.0,yes,no,unknown,9.0,may,710,1,-1,0,unknown,yes,1.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
32,blue-collar,married,secondary,no,-1.0,yes,no,unknown,,may,653,1,-1,0,unknown,yes,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
35,blue-collar,single,secondary,no,40.0,yes,no,unknown,9.0,may,617,4,-1,0,unknown,yes,1.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
26,blue-collar,single,secondary,no,82.0,yes,no,unknown,9.0,may,654,1,-1,0,unknown,yes,1.0,2.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
40,blue-collar,married,secondary,no,10.0,yes,no,unknown,9.0,may,1692,2,-1,0,unknown,yes,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
33,blue-collar,divorced,primary,no,390.0,yes,no,unknown,9.0,may,665,2,-1,0,unknown,,1.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,
32,management,single,tertiary,no,311.0,no,no,unknown,12.0,may,757,2,-1,0,unknown,yes,4.0,2.0,2.0,0.0,0.0,0.0,2.0,8.0,3.0,1.0
35,blue-collar,married,primary,no,414.0,no,no,unknown,,may,504,4,-1,0,unknown,yes,1.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,3.0,1.0
33,management,divorced,secondary,,5.0,yes,no,unknown,13.0,may,1346,1,-1,0,unknown,yes,4.0,0.0,1.0,,1.0,0.0,2.0,8.0,3.0,1.0
38,management,married,tertiary,no,119.0,yes,no,unknown,13.0,may,568,4,-1,0,unknown,yes,4.0,1.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
23,entrepreneur,single,primary,no,4.0,yes,no,unknown,13.0,may,395,2,-1,0,unknown,yes,2.0,2.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
60,blue-collar,married,primary,no,1262.0,yes,yes,unknown,13.0,may,1015,1,-1,0,unknown,yes,1.0,1.0,0.0,0.0,1.0,1.0,2.0,8.0,3.0,1.0
48,management,married,tertiary,no,1949.0,yes,no,unknown,13.0,may,683,2,-1,0,unknown,yes,4.0,1.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
45,entrepreneur,divorced,tertiary,no,-395.0,yes,no,unknown,,may,470,1,-1,0,unknown,yes,2.0,0.0,2.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
36,blue-collar,married,secondary,no,1165.0,yes,no,unknown,13.0,may,1001,4,-1,0,unknown,yes,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
52,management,married,unknown,no,2240.0,yes,no,unknown,13.0,may,845,1,-1,0,unknown,yes,4.0,1.0,3.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
35,blue-collar,divorced,primary,no,300.0,yes,no,unknown,13.0,may,945,2,-1,0,unknown,yes,1.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
43,technician,married,secondary,no,3285.0,yes,no,unknown,13.0,may,1721,2,-1,0,unknown,yes,9.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
52,housemaid,married,secondary,no,3923.0,yes,no,unknown,14.0,may,942,3,-1,0,unknown,yes,3.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
53,technician,divorced,primary,no,1443.0,yes,no,unknown,,may,476,1,-1,0,unknown,yes,9.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
48,blue-collar,divorced,primary,no,24.0,yes,no,unknown,14.0,may,832,1,-1,0,unknown,no,1.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,0.0
41,blue-collar,single,primary,no,1618.0,yes,no,unknown,14.0,may,1553,1,-1,0,unknown,yes,1.0,2.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
39,management,divorced,tertiary,no,517.0,yes,yes,unknown,14.0,may,1328,1,-1,0,unknown,yes,4.0,0.0,2.0,0.0,1.0,1.0,2.0,8.0,3.0,1.0
59,retired,married,secondary,no,1521.0,yes,yes,unknown,14.0,may,1125,2,-1,0,unknown,yes,5.0,1.0,1.0,0.0,1.0,1.0,2.0,8.0,3.0,1.0
41,blue-collar,married,secondary,no,2823.0,yes,no,unknown,14.0,may,858,1,-1,0,unknown,yes,1.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
52,housemaid,married,secondary,no,3923.0,yes,no,unknown,14.0,may,942,3,-1,0,unknown,yes,3.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0
